Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total tests,Tests/1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Djibouti,"15,690",,189,,"15,427",,74,,"15,441",186,"305,941","301,094","1,016,097",Africa,65,"5,376",3,,,73
Marshall Islands,"15,649",,17,,"15,528",,104,,"260,569",283,,,"60,057",Australia/Oceania,4,"3,533",,,,"1,732"
CAR,"15,368",,113,,"15,200",,55,2,"3,063",23,"81,294","16,205","5,016,678",Africa,326,"44,395",62,,,11
Gambia,"12,598",,372,,"12,189",,37,,"4,924",145,"155,686","60,851","2,558,482",Africa,203,"6,878",16,,,14
Saint Martin,"12,271",,63,,"1,399",,"10,809",7,"308,860","1,586","112,382","2,828,643","39,730",North America,3,631,0,,,"272,061"
Vanuatu,"12,014",,14,,"11,976",,24,,"37,330",44,"24,976","77,606","321,832",Australia/Oceania,27,"22,988",13,,,75
Greenland,"11,971",,21,,"2,761",,"9,189",4,"210,117",369,"164,926","2,894,810","56,973",North America,5,"2,713",0,,,"161,287"
Yemen,"11,945",,"2,159",,"9,124",,662,23,383,69,"329,592","10,579","31,154,867",Asia,"2,608","14,430",95,,,21
Caribbean Netherlands,"11,682",,38,,"10,476",,"1,168",,"438,398","1,426","30,126","1,130,559","26,647",North America,2,701,1,,,"43,832"
Sint Maarten,"11,023",,91,,"10,905",,27,N/A,"250,716","2,070","62,056","1,411,454","43,966",North America,4,483,1,,,614
Eritrea,"10,189",,103,,"10,086",,0,,"2,782",28,"23,693","6,470","3,662,244",Africa,359,"35,556",155,,,
Niger,"9,931",,312,,"8,890",,729,1,381,12,"254,538","9,759","26,083,660",Africa,"2,626","83,601",102,,,28
St. Vincent Grenadines,"9,593",,124,,"9,466",,3,,"85,997","1,112","113,771","1,019,901","111,551",North America,12,900,1,,,27
Antigua and Barbuda,"9,106",,146,,"8,954",,6,1,"91,509","1,467","18,901","189,943","99,509",North America,11,682,5,,,60
Comoros,"9,048",,161,,"8,838",,49,,"9,971",177,,,"907,419",Africa,100,"5,636",,,,54
Guinea-Bissau,"8,960",,176,,"8,660",,124,6,"4,342",85,"145,231","70,385","2,063,367",Africa,230,"11,724",14,,,60
Liberia,"8,090",,295,,"7,783",,12,2,"1,525",56,"139,824","26,356","5,305,117",Africa,656,"17,983",38,,,2
Sierra Leone,"7,760",,126,,N/A,N/A,N/A,,934,15,"259,958","31,296","8,306,436",Africa,"1,070","65,924",32,,,330
Chad,"7,682",,194,,"4,874",,"2,614",,441,11,"191,341","10,988","17,413,580",Africa,"2,267","89,761",91,,,150
British Virgin Islands,"7,305",,64,,N/A,N/A,N/A,,"238,757","2,092","107,339","3,508,269","30,596",North America,4,478,0,,,392
Cook Islands,"7,033",,2,,"7,030",,1,,"400,262",114,"19,690","1,120,596","17,571",Australia/Oceania,2,"8,786",1,,,57
Saint Kitts and Nevis,"6,597",,48,,"6,549",,0,,"122,459",891,"126,935","2,356,277","53,871",North America,8,"1,122",0,,,
Turks and Caicos,"6,561",,38,,"6,504",,19,4,"165,094",956,"612,335","15,408,143","39,741",North America,6,"1,046",0,,,478
Sao Tome and Principe,"6,296",,77,,"6,204",,15,,"27,653",338,"29,036","127,530","227,679",Africa,36,"2,957",8,,,66
Palau,"5,995",+1,9,,"5,985",,1,,"328,799",494,"69,316","3,801,678","18,233",Australia/Oceania,3,"2,026",0,55,,55
St. Barth,"5,441",,6,,N/A,N/A,N/A,,"547,109",603,"78,646","7,908,095","9,945",North America,2,"1,658",0,,,"500,050"
Nauru,"5,393",,1,,"5,347",,45,,"494,635",92,"20,509","1,881,042","10,903",Australia/Oceania,2,"10,903",1,,,"4,127"
Kiribati,"5,014",,18,,"2,703",,"2,293",3,"40,626",146,,,"123,419",Australia/Oceania,25,"6,857",,,,"18,579"
Anguilla,"3,904",,12,,"3,879",,13,4,"256,336",788,"51,382","3,373,736","15,230",North America,4,"1,269",0,,,854
Macao,"3,514",,121,,"3,392",,1,,"5,264",181,"7,850","11,760","667,490",Asia,190,"5,516",85,,,1
Saint Pierre Miquelon,"3,452",,2,,"2,449",,"1,001",1,"599,410",347,"25,400","4,410,488","5,759",North America,2,"2,880",0,,,"173,815"
Wallis and Futuna,"3,427",,7,,438,,"2,982",,"312,056",637,"20,508","1,867,419","10,982",Australia/Oceania,3,"1,569",1,,,"271,535"
Tuvalu,"2,805",,,,,,"2,805",,"232,471",,,,"12,066",Australia/Oceania,4,,,,,"232,471"
Saint Helena,"2,166",,,,2,,"2,164",,"354,211",,,,"6,115",Africa,3,,,,,"353,884"
Falkland Islands,"1,930",,,,"1,930",,0,,"545,352",,"8,632","2,439,107","3,539",South America,2,,0,,,
Montserrat,"1,403",,8,,"1,376",,19,,"282,578","1,611","17,762","3,577,442","4,965",North America,4,621,0,,,"3,827"
Niue,794,,,,791,,3,,"489,519",,,,"1,622",Australia/Oceania,2,,,,,"1,850"
Diamond Princess,712,,13,,699,,0,,,,,,,,,,,,,
Vatican City,29,,,,29,,0,,"36,295",,,,799,Europe,28,,,,,
Western Sahara,10,,1,,9,,0,,16,2,,,"626,161",Africa,"62,616","626,161",,,,
MS Zaandam,9,,2,,7,,0,,,,,,,,,,,,,
Tokelau,5,,,,,,5,,"3,628",,,,"1,378",Australia/Oceania,276,,,,,"3,628"
China,"503,302",,"5,272",,"379,053",,"118,977",N/A,347,4,"160,000,000","110,461","1,448,471,400",Asia,"2,878","274,748",9,,,82
